POSITION,EMPLOYEE,PAEMPLOYEE.LOCAT-CODE,DATE-HIRED,CITY,STATE,ZIP,Date of Birth,Pay-rate,H/S
RAMP,7016210,IAD,8/21/2017,ASHBURN,VA,20147,4/15/1971,10.1,H
RAMP,7016211,IAD,8/21/2017,HERENDON,VA,20170,4/16/1971,10.1,H
RAMP,7016212,IAD,8/21/2017,CENTREVILLE,VA,20121,4/17/1971,10.1,H
RAMP,7016214,IAD,8/21/2017,ASHBURN,VA,20147,4/18/1971,10.1,H
RAMP,7016215,IAD,8/21/2017,LEESBURG,VA,20175,4/19/1971,10.1,H
RAMP,7016216,IAD,8/21/2017,HERNDON,VA,20170,4/20/1968,10.1,H
RAMP,7016470,IAD,9/11/2017,FAIRFAX,VA,22030,4/21/1968,10.1,H
RAMP,7016471,IAD,9/11/2017,GERMANTOWN,MD,20874,4/22/1968,10.1,H
RAMP,7016472,IAD,9/11/2017,HYATTSVILLE,MD,20785,4/23/1968,10.1,H
RAMP,7016473,IAD,9/11/2017,CENTREVILLE,VA,20120,4/24/1968,10.1,H
RAMP,7016504,IAD,9/11/2017,LEESBURG,VA,20176,4/25/1968,10.1,H
CLEANING,302538,IAD FUEL,3/16/2010,ASHBURN,VA,20147,5/2/1964,11.12,H
CLEANING,302667,IAD FUEL,12/8/2010,RESTON,VA,20194,5/4/1964,11.12,H
CLEANING,303269,IAD FUEL,11/2/2012,MANASSAS,VA,20109,5/5/1964,11.14,H
CLEANING,304247,IAD FUEL,3/13/2015,MANASSAS,VA,20110,5/6/1962,10.9,H
CLEANING,304728,IAD FUEL,10/23/2015,ARLINGTON,VA,22206,5/7/1962,10.9,H
CLEANING,305148,IAD FUEL,6/7/2016,ASHBURN,VA,20147,5/9/1962,10.1,H
CLEANING,305193,IAD FUEL,7/13/2016,RESTON,VA,20191,5/10/1962,10.1,H
CLEANING,305283,IAD FUEL,8/29/2016,ARLINGTON,VA,22207,5/11/1962,10.1,H
CLEANING,305329,IAD FUEL,9/27/2016,WALDORF,MD,20603,5/12/1962,10.1,H
CLEANING,305515,IAD FUEL,1/17/2017,STERLING,VA,20164,5/13/1962,10.1,H
CLEANING,305516,IAD FUEL,1/17/2017,STERLING,VA,20164,5/14/1962,10.1,H
CLEANING,305558,IAD FUEL,2/13/2017,GERRARDSTOWN,WV,25420,5/15/1962,10.1,H
CLEANING,304727,IAD FUEL,10/23/2015,TEMPLE HILLS PG,MD,20748,5/16/1962,10.9,H
CLEANING,305816,IAD FUEL,6/1/2017,MANASSAS,VA,20109,5/17/1962,10.1,H
CLEANING,305904,IAD FUEL,7/5/2017,TEMPLE HILLS,MD,20748,5/18/1966,10.1,H
CLEANING,305971,IAD FUEL,7/26/2017,ASHBURN,VA,20147,5/19/1966,10.1,H
CLEANING,305972,IAD FUEL,7/26/2017,SILVER SPRING,MD,20904,5/20/1966,10.1,H
PAX,204877,IAD,9/14/2010,HERNDON,VA,20170,5/31/1969,11.12,H
PAX,210990,IAD,8/22/2012,CHANTILLY,VA,20151,6/3/1970,11.14,H
PAX,262885,IAD,9/11/2017,MANASSAS,VA,20111,6/4/1970,10.1,H
PAX,262886,IAD,9/11/2017,CENTREVILLE,VA,20120,6/5/1970,10.1,H
PAX,262888,IAD,11/11/2017,FALLS CHURCH,VA,22046,6/6/1970,10.1,H
PAX,262890,IAD,11/11/2017,ALEXANDRIA,VA,22304,6/7/1970,10.1,H
PAX,262891,IAD,11/11/2017,WOODBRIDGE,VA,22193,6/8/1970,10.1,H
PAX,262898,IAD,11/11/2017,MANASSAS,VA,20110,6/9/1976,10.1,H
PAX,262899,IAD,9/11/2017,WOODBRIDGE,VA,22191,6/10/1976,10.1,H
PAX,262900,IAD,9/11/2017,HERNDON,VA,20170,6/11/1976,10.1,H
PAX,262901,IAD,9/11/2017,FALLS CHURCH,VA,22042,6/12/1976,10.1,H
PAX,262902,IAD,9/11/2017,BRISTOW,VA,20136,6/13/1976,10.1,H
PAX,262903,IAD,9/11/2017,CENTREVILLE,VA,20120,6/14/1976,10.1,H
PAX,262904,IAD,9/11/2017,WOODBRIDGE,VA,22192,6/15/1987,10.1,H
PAX,262905,IAD,9/11/2017,ASHBURN,VA,20148,6/16/1987,10.1,H
PAX,262917,IAD,10/11/2017,MANASSAS PARK,VA,20111,6/17/1987,10.1,H
PAX,262918,IAD,10/11/2017,FAIRFAX,VA,22031,6/18/1987,10.1,H
PAX,262919,IAD,10/11/2017,LEESBURG,VA,20176,6/19/1987,10.1,H
PAX,262920,IAD,10/11/2017,BRISTOW,VA,20136,6/20/1987,10.1,H
PAX,262921,IAD,10/11/2017,GAITHERSBURG,MD,20886,6/21/1987,10.1,H
PAX,262922,IAD,10/11/2017,STERLING,VA,20165,6/22/1987,10.1,H
