COMPANY,WAGE-OVERTIME HOURS,PER-END-DATE
RAMP,6,17-Apr
RAMP,6,17-Apr
RAMP,7,17-Apr
RAMP,8,17-Apr
RAMP,9,17-Apr
RAMP,10,17-Apr
RAMP,11,17-Apr
RAMP,12,17-Apr
RAMP,13,17-Apr
RAMP,15,17-Apr
RAMP,16,17-Apr
RAMP,2,17-Apr
RAMP,3,17-Apr
RAMP,4,17-Apr
RAMP,6,17-Apr
RAMP,7,17-Apr
RAMP,8,17-Apr
RAMP,9,17-Apr
RAMP,10,17-Apr
RAMP,11,17-Apr
RAMP,12,17-Apr
RAMP,13,17-Apr
RAMP,15,17-Apr
RAMP,16,17-Apr
RAMP,2,17-Apr
RAMP,3,17-Apr
RAMP,4,17-Apr
RAMP,6,17-Apr
RAMP,7,17-Apr
RAMP,8,17-Apr
RAMP,9,17-Apr
RAMP,10,17-Apr
RAMP,11,17-Apr
RAMP,12,17-Apr
RAMP,13,17-Apr
RAMP,15,17-Apr
RAMP,16,17-Apr
RAMP,2,17-Apr
RAMP,3,17-Apr
RAMP,4,17-Apr
RAMP,6,17-Apr
RAMP,7,17-Apr
RAMP,8,17-Apr
RAMP,9,17-Apr
RAMP,10,17-Apr
RAMP,11,17-Apr
RAMP,12,17-Apr
RAMP,13,17-Apr
RAMP,15,17-Apr
PAX,16,17-Apr
PAX,2,17-Apr
PAX,3,17-Apr
PAX,4,17-Apr
PAX,6,17-Apr
PAX,7,17-Apr
PAX,8,17-Apr
PAX,9,17-Apr
PAX,10,17-Apr
PAX,11,17-Apr
PAX,12,17-Apr
PAX,13,17-Apr
PAX,15,17-Apr
PAX,16,17-Apr
PAX,2,17-Apr
PAX,3,17-Apr
PAX,4,17-Apr
PAX,6,17-Apr
PAX,12,17-Apr
PAX,13,17-Apr
PAX,15,17-Apr
PAX,16,17-Apr
PAX,2,17-Apr
PAX,3,17-Apr
RAMP,4,17-Apr
CLEANING,6,17-Apr
CLEANING,6,17-Apr
CLEANING,7,17-Apr
CLEANING,8,17-Apr
CLEANING,9,17-Apr
CLEANING,10,17-Apr
CLEANING,11,17-Apr
CLEANING,12,17-Apr
CLEANING,13,17-Apr
CLEANING,15,17-Apr
CLEANING,16,17-Apr
CLEANING,2,17-Apr
CLEANING,3,17-Apr
CLEANING,4,17-Apr
CLEANING,6,17-May
CLEANING,7,17-May
CLEANING,8,17-May
CLEANING,9,17-May
CLEANING,10,17-May
CLEANING,11,17-May
CLEANING,12,17-May
CLEANING,13,17-May
CLEANING,15,17-May
CLEANING,16,17-May
CLEANING,2,17-May
CLEANING,3,17-May
CLEANING,4,17-May
CLEANING,6,17-May
CLEANING,7,17-May
CLEANING,8,17-May
CLEANING,9,17-May
CLEANING,10,17-May
CLEANING,11,17-May
CLEANING,12,17-May
CLEANING,13,17-May
CLEANING,15,17-May
CLEANING,16,17-May
CLEANING,2,17-May
CLEANING,3,17-May
CLEANING,4,17-May
CLEANING,6,17-May
CLEANING,7,17-May
CLEANING,8,17-May
CLEANING,9,17-May
RAMP,10,17-May
RAMP,11,17-May
RAMP,12,17-May
RAMP,13,17-May
RAMP,15,17-May
RAMP,16,17-May
RAMP,2,17-May
RAMP,3,17-May
RAMP,4,17-May
RAMP,6,17-May
RAMP,7,17-May
RAMP,8,17-May
RAMP,9,17-May
RAMP,10,17-May
RAMP,11,17-May
RAMP,12,17-May
RAMP,13,17-May
RAMP,15,17-May
RAMP,16,17-May
RAMP,2,17-May
RAMP,3,17-May
RAMP,4,17-May
RAMP,6,17-May
RAMP,12,17-May
RAMP,13,17-May
RAMP,15,17-May
RAMP,16,17-May
RAMP,2,17-May
RAMP,3,17-May
RAMP,4,17-May
RAMP,6,17-May
RAMP,6,17-May
RAMP,7,17-May
RAMP,8,17-May
RAMP,9,17-May
RAMP,10,17-May
RAMP,11,17-May
RAMP,12,17-May
RAMP,13,17-May
RAMP,15,17-May
RAMP,16,17-May
RAMP,2,17-May
RAMP,3,17-May
RAMP,4,17-May
RAMP,6,17-May
RAMP,7,17-May
RAMP,8,17-May
RAMP,9,17-May
RAMP,10,17-May
RAMP,11,17-May
RAMP,12,17-May
RAMP,13,17-May
RAMP,15,17-May
RAMP,16,17-May
RAMP,2,17-May
RAMP,3,17-May
RAMP,4,17-May
RAMP,6,17-May
RAMP,7,17-May
RAMP,8,17-May
RAMP,9,17-May
RAMP,10,17-May
RAMP,11,17-May
RAMP,12,17-May
RAMP,13,17-May
RAMP,15,17-May
RAMP,16,17-May
RAMP,2,17-May
RAMP,3,17-May
RAMP,4,17-May
RAMP,6,17-May
RAMP,7,17-May
RAMP,8,17-May
RAMP,9,17-May
RAMP,10,17-May
RAMP,11,17-May
RAMP,12,17-May
RAMP,13,17-May
RAMP,15,17-May
RAMP,16,17-May
RAMP,2,17-May
RAMP,3,17-May
RAMP,4,17-May
RAMP,6,17-May
RAMP,7,17-May
RAMP,8,17-May
RAMP,9,17-May
RAMP,10,17-May
RAMP,11,17-May
RAMP,12,17-May
RAMP,13,17-May
RAMP,15,17-May
RAMP,16,17-May
RAMP,2,17-May
RAMP,3,17-May
RAMP,4,17-May
RAMP,6,17-May
RAMP,6,17-May
RAMP,6,17-May
RAMP,12,17-May
RAMP,13,17-May
RAMP,15,17-May
RAMP,16,17-May
RAMP,2,17-May
RAMP,3,17-May
RAMP,4,17-May
RAMP,6,17-May
RAMP,6,17-May
RAMP,7,17-May
RAMP,8,17-May
RAMP,9,17-May
RAMP,10,17-May
RAMP,11,17-May
RAMP,12,17-May
RAMP,13,17-May
RAMP,15,17-May
RAMP,16,17-May
RAMP,2,17-May
RAMP,3,17-May
RAMP,4,17-May
RAMP,6,17-May
RAMP,7,17-May
RAMP,8,17-May
RAMP,9,17-May
RAMP,10,17-May
RAMP,11,17-May
RAMP,12,17-May
RAMP,13,17-May
RAMP,15,17-May
RAMP,16,17-May
RAMP,2,17-May
RAMP,3,17-May
RAMP,4,17-May
RAMP,6,17-May
RAMP,7,17-May
RAMP,8,17-May
RAMP,9,17-May
RAMP,10,17-May
RAMP,11,17-May
PAX,12,17-May
PAX,13,17-May
PAX,15,17-May
PAX,16,17-May
PAX,2,17-May
PAX,3,17-May
PAX,4,17-May
PAX,6,17-May
PAX,7,17-May
PAX,8,17-May
PAX,9,17-May
PAX,10,17-May
PAX,11,17-May
PAX,12,17-May
PAX,13,17-May
RAMP,15,17-Jun
RAMP,16,17-Jun
RAMP,2,17-Jun
RAMP,3,17-Jun
RAMP,4,17-Jun
RAMP,6,17-Jun
RAMP,7,17-Jun
RAMP,8,17-Jun
RAMP,9,17-Jun
RAMP,10,17-Jun
RAMP,11,17-Jun
RAMP,12,17-Jun
RAMP,13,17-Jun
RAMP,15,17-Jun
RAMP,16,17-Jun
RAMP,2,17-Jun
RAMP,3,17-Jun
RAMP,4,17-Jun
RAMP,6,17-Jun
RAMP,12,17-Jun
RAMP,13,17-Jun
RAMP,15,17-Jun
RAMP,16,17-Jun
RAMP,2,17-Jun
RAMP,3,17-Jun
RAMP,4,17-Jun
RAMP,6,17-Jun
RAMP,6,17-Jun
RAMP,7,17-Jun
RAMP,8,17-Jun
RAMP,9,17-Jun
RAMP,10,17-Jun
RAMP,11,17-Jun
RAMP,12,17-Jun
RAMP,13,17-Jun
RAMP,15,17-Jun
RAMP,16,17-Jun
RAMP,2,17-Jun
RAMP,3,17-Jun
RAMP,4,17-Jun
RAMP,6,17-Jun
RAMP,7,17-Jun
RAMP,8,17-Jun
RAMP,9,17-Jul
RAMP,10,17-Jul
RAMP,11,17-Jul
RAMP,12,17-Jul
RAMP,13,17-Jul
RAMP,15,17-Jul
RAMP,16,17-Jul
RAMP,2,17-Jul
RAMP,3,17-Jul
RAMP,4,17-Jul
RAMP,6,17-Jul
RAMP,7,17-Jul
RAMP,8,17-Jul
RAMP,9,17-Jul
RAMP,10,17-Jul
RAMP,11,17-Jul
RAMP,12,17-Jul
RAMP,13,17-Jul
RAMP,15,17-Jul
RAMP,16,17-Jul
RAMP,2,17-Jul
RAMP,3,17-Jul
RAMP,4,17-Jul
RAMP,6,17-Jul
RAMP,7,17-Jul
RAMP,8,17-Jul
RAMP,9,17-Jul
RAMP,10,17-Jul
RAMP,11,17-Jul
RAMP,12,17-Jul
RAMP,13,17-Jul
RAMP,15,17-Jul
RAMP,16,17-Jul
RAMP,2,17-Jul
RAMP,3,17-Jul
RAMP,4,17-Jul
RAMP,6,17-Jul
RAMP,7,17-Jul
RAMP,8,17-Jul
RAMP,9,17-Jul
RAMP,10,17-Jul
RAMP,11,17-Jul
RAMP,12,17-Jul
RAMP,13,17-Jul
RAMP,15,17-Jul
RAMP,16,17-Jul
RAMP,2,17-Jul
RAMP,3,17-Jul
RAMP,4,17-Jul
RAMP,6,17-Jul
RAMP,12,17-Jul
RAMP,13,17-Jul
RAMP,15,17-Jul
RAMP,16,17-Jul
RAMP,2,17-Jul
RAMP,3,17-Jul
RAMP,4,17-Jul
RAMP,6,17-Jul
RAMP,6,17-Jul
RAMP,7,17-Jul
RAMP,8,17-Aug
RAMP,9,17-Aug
RAMP,10,17-Aug
RAMP,11,17-Aug
RAMP,12,17-Aug
RAMP,13,17-Aug
RAMP,15,17-Aug
RAMP,16,17-Aug
RAMP,2,17-Aug
RAMP,3,17-Aug
RAMP,4,17-Aug
RAMP,6,17-Aug
RAMP,7,17-Aug
RAMP,8,17-Aug
RAMP,9,17-Aug
RAMP,10,17-Aug
RAMP,11,17-Aug
RAMP,12,17-Aug
RAMP,13,17-Aug
RAMP,15,17-Aug
RAMP,16,17-Aug
RAMP,2,17-Aug
RAMP,3,17-Oct
RAMP,4,17-Oct
RAMP,6,17-Oct
RAMP,7,17-Oct
RAMP,8,17-Oct
RAMP,9,17-Oct
RAMP,10,17-Oct
RAMP,11,17-Oct
RAMP,12,17-Oct
RAMP,13,17-Nov
RAMP,15,18-Nov
RAMP,16,19-Nov
RAMP,2,20-Nov
RAMP,3,21-Nov
RAMP,4,22-Nov
RAMP,6,23-Nov
RAMP,7,24-Nov
RAMP,8,17-Oct
RAMP,9,17-Oct
RAMP,10,17-Oct
RAMP,11,17-Oct
RAMP,12,17-Oct
RAMP,13,17-Oct
RAMP,15,17-Oct
RAMP,16,17-Oct
RAMP,2,17-Oct
RAMP,3,17-Oct
RAMP,4,17-Oct
RAMP,6,17-Oct
RAMP,7,17-Oct
RAMP,8,17-Oct
RAMP,9,17-Oct
RAMP,10,17-Oct
RAMP,11,17-Aug
RAMP,12,17-Aug
RAMP,13,17-Aug
RAMP,15,17-Aug
RAMP,16,17-Aug
RAMP,2,17-Aug
RAMP,3,17-Aug
RAMP,4,17-Aug
RAMP,6,17-Aug
RAMP,12,17-Aug
RAMP,13,17-Aug
RAMP,15,17-Aug
RAMP,16,17-Aug
RAMP,2,17-Aug
RAMP,3,17-Aug
RAMP,4,17-Aug
RAMP,6,17-Aug
RAMP,6,17-Aug
RAMP,7,17-Sep
RAMP,8,17-Sep
RAMP,9,17-Sep
RAMP,10,17-Sep
RAMP,11,17-Sep
RAMP,12,17-Sep
RAMP,13,17-Sep
RAMP,15,17-Sep
RAMP,16,17-Sep
RAMP,2,17-Sep
RAMP,3,17-Sep
RAMP,4,17-Sep
RAMP,6,17-Sep
RAMP,7,17-Sep
RAMP,8,17-Oct
RAMP,9,18-Oct
RAMP,10,19-Oct
RAMP,11,17-Sep
RAMP,12,17-Sep
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
